BR_CDE,CHECK_NO,SLS_DT,TX_SEQ,PAY_MTD_CDE,PAY_AMT,IS_MEMBER,LC_OCT_ID
A004,8470,2014/7/2,1,VH,3,Y,54796
A004,8470,2014/7/2,2,OC,44,Y,54796
A004,8471,2014/7/2,1,CA,500,Y,54796
A004,8471,2014/7/2,2,CH,200,Y,54796
A004,7562,2014/7/2,1,OC,20,Y,54796
A004,12644,2014/7/3,1,OC,21,Y,54796
A004,12292,2014/7/3,1,OC,20,Y,54796
A004,13053,2014/7/4,1,OC,20,Y,54796
A004,1489,2014/7/4,1,VH,5,Y,54796
A004,1489,2014/7/4,2,OC,24,Y,54796
A004,13921,2014/7/5,1,OC,20,Y,54796
A004,2431,2014/7/5,1,VH,3,Y,54796
A004,2431,2014/7/5,2,OC,44,Y,54796
A004,15044,2014/7/6,1,OC,7,Y,54796
A004,3642,2014/7/6,1,VH,10,Y,54796
A004,3642,2014/7/6,2,OC,37,Y,54796
A004,2691,2014/7/6,1,OC,20,Y,54796
A004,4119,2014/7/7,1,OC,20,Y,54796
A004,4120,2014/7/7,1,OC,20,Y,54796
A004,5511,2014/7/8,1,OC,20,Y,54796
A004,5512,2014/7/8,1,CA,500,Y,54796
A004,6828,2014/7/9,1,OC,20,Y,54796
A004,8273,2014/7/10,1,VH,10,Y,54796
A004,8273,2014/7/10,2,OC,41,Y,54796
A004,7519,2014/7/10,1,OC,20,Y,54796
A004,310,2014/7/11,1,OC,20,Y,54796
A004,11094,2014/7/12,1,VH,3,Y,54796
A004,11094,2014/7/12,2,OC,33,Y,54796
A004,10865,2014/7/12,1,OC,7,Y,54796
A004,10372,2014/7/12,1,OC,20,Y,54796
A004,11898,2014/7/13,1,VH,3,Y,54796
A004,11898,2014/7/13,2,OC,46,Y,54796
A004,2280,2014/7/13,1,OC,21,Y,54796
A004,12509,2014/7/14,1,OC,7,Y,54796
A004,12526,2014/7/14,1,VH,10,Y,54796
A004,12526,2014/7/14,2,OC,34,Y,54796
A004,12057,2014/7/14,1,OC,20,Y,54796
A004,13221,2014/7/15,1,OC,21,Y,54796
A004,3845,2014/7/15,1,CA,500,Y,54796
A004,13773,2014/7/16,1,OC,20,Y,54796
A004,4418,2014/7/16,1,VH,10,Y,54796
A004,4418,2014/7/16,2,OC,26,Y,54796
A004,4390,2014/7/16,1,OC,7,Y,54796
A004,5143,2014/7/17,1,VH,10,Y,54796
A004,5143,2014/7/17,2,OC,38,Y,54796
A004,16004,2014/7/18,1,OC,20,Y,54796
A004,12526,2014/7/14,2,OC,34,Y,54796
A004,12509,2014/7/14,1,OC,7,Y,54796
A004,12526,2014/7/14,1,VH,10,Y,54796
A004,12057,2014/7/14,1,OC,20,Y,54796
A004,13455,2014/7/15,1,VH,10,Y,54796
A004,13455,2014/7/15,2,OC,29,Y,54796
A004,11606,2014/7/1,1,OC,18,Y,54796
A004,8258,2014/7/2,1,OC,7,Y,54796
A004,2692,2014/7/6,1,OC,20,Y,54796
A004,15595,2014/7/7,1,VH,10,Y,54796
A004,15595,2014/7/7,2,OC,21.5,Y,54796
A004,15578,2014/7/7,1,OC,7,Y,54796
A004,12058,2014/7/14,1,OC,20,Y,54796
A004,3843,2014/7/15,1,OC,20,Y,54796
A004,3844,2014/7/15,1,OC,20,Y,54796
A004,12058,2014/7/14,1,OC,20,Y,54796
A004,6406,2014/7/8,1,VH,3,Y,54796
A004,6406,2014/7/8,2,OC,44,Y,54796
A003,13689,2014/7/31,2,OC,20,Y,54812
A003,13689,2014/7/31,1,VH,5,Y,54812
A003,11390,2014/7/29,1,OC,25,Y,54812
A003,15780,2014/7/17,1,OC,29,Y,54812
A003,1585,2014/7/4,1,OC,24.5,Y,54812
A003,13688,2014/7/31,1,OC,25,Y,54812
A003,1584,2014/7/4,1,OC,24.5,Y,54812
A003,17027,2014/7/18,2,OC,24,Y,54812
A003,17027,2014/7/18,1,VH,5,Y,54812
A003,15781,2014/7/17,1,OC,25,Y,54812
A003,11389,2014/7/29,1,OC,29,Y,54812
A003,12543,2014/7/22,1,OC,25,Y,54812
A003,12542,2014/7/22,1,OC,29,Y,54812
A003,17026,2014/7/18,1,OC,25,Y,54812
A003,15117,2014/7/9,1,OC,25,Y,54812
A003,15116,2014/7/9,1,OC,25,Y,54812
A003,10336,2014/7/5,2,OC,19.5,Y,54812
A003,10336,2014/7/5,1,VH,5,Y,54812
A003,10335,2014/7/5,1,OC,24.5,Y,54812
A002,12583,2014/7/2,1,OC,22,Y,54890
A002,3838,2014/7/3,1,VH,10,Y,54890
A002,3838,2014/7/3,2,OC,24,Y,54890
A002,3426,2014/7/3,1,OC,22,Y,54890
A002,14977,2014/7/4,1,OC,20,Y,54890
A002,5628,2014/7/5,1,OC,20,Y,54890
A002,12583,2014/7/2,1,OC,22,Y,54890
A002,3838,2014/7/3,1,VH,10,Y,54890
A002,3838,2014/7/3,2,OC,24,Y,54890
A002,3426,2014/7/3,1,OC,22,Y,54890
A002,3838,2014/7/3,1,VH,10,Y,54890
A002,3838,2014/7/3,2,OC,24,Y,54890
A002,3426,2014/7/3,1,OC,22,Y,54890
A002,17417,2014/7/13,1,VH,5,Y,54890
A002,17417,2014/7/13,2,OC,23,Y,54890
A002,4632,2014/7/20,1,OC,27,Y,54890
A002,4633,2014/7/20,1,OC,20,Y,54890
A002,3824,2014/7/27,1,VH,5,Y,54890
