BR_CDE,CHECK_NO,SLS_DT,TX_SEQ,TX_DT,SI_DEP_CDE,SI_NO,UNIT_PRICE,QTY,SLS_PRICE,NET_TOTAL,TAKEOUT,LC_OCT_ID
A001,10653,2014/7/19,2,14:18:49,18,S8D006,0,1,0,21,N,56238
A001,10911,2014/7/19,1,18:22:50,,TEST,100,1,100,100,N,57410
A001,10912,2014/7/19,1,18:23:14,10,S16415,44,1,44,44,N,57410
A001,10912,2014/7/19,2,18:23:14,18,S8D008,0,1,0,44,N,57410
A001,3620,2014/7/20,1,8:39:39,3,S10999,20,1,20,23,N,56340
A001,3620,2014/7/20,3,8:39:39,20,S8NE34,0,1,0,23,N,56340
A001,3620,2014/7/20,2,8:39:39,20,S8N062,0,1,0,23,N,56340
A001,3620,2014/7/20,4,8:39:39,,S8D038,3,1,3,23,N,56340
A001,3745,2014/7/20,1,9:38:23,,TEST,100,2,200,200,N,54950
A001,3746,2014/7/20,5,9:38:31,17,S8M252,4,1,4,40,Y,54950
A001,3746,2014/7/20,4,9:38:31,18,S8D283,0,1,0,40,Y,54950
A001,3746,2014/7/20,2,9:38:31,20,S8N062,0,1,0,40,Y,54950
A001,3746,2014/7/20,3,9:38:31,,S8D038,3,1,3,40,Y,54950
A001,3746,2014/7/20,6,9:38:31,17,S8M008,8,1,8,40,Y,54950
A001,3746,2014/7/20,1,9:38:31,2,S10486,25,1,25,40,Y,54950
A001,3748,2014/7/20,1,9:39:18,2,S10469,25,1,25,29,Y,54950
A001,3748,2014/7/20,2,9:39:18,20,S8NE35,0,1,0,29,Y,54950
A001,3748,2014/7/20,4,9:39:18,17,S8M252,4,1,4,29,Y,54950
A001,3748,2014/7/20,3,9:39:18,18,S8D000,0,1,0,29,Y,54950
A001,3749,2014/7/20,1,9:39:38,2,S10476,24,1,24,31,Y,54950
A001,3749,2014/7/20,3,9:39:38,17,S8M118,4,1,4,31,Y,54950
A001,3749,2014/7/20,2,9:39:38,,S8D038,3,1,3,31,Y,54950
A001,3770,2014/7/20,2,9:49:42,20,S8NE35,0,1,0,29,N,57410
A001,3770,2014/7/20,4,9:49:42,17,S8M252,4,1,4,29,N,57410
A001,3770,2014/7/20,1,9:49:42,2,S10470,25,1,25,29,N,57410
A001,3770,2014/7/20,3,9:49:42,18,S8D000,0,1,0,29,N,57410
A001,4390,2014/7/20,2,16:59:33,18,S8K001,0,1,0,24,N,56238
A001,4390,2014/7/20,3,16:59:33,20,S8NA77,0,1,0,24,N,56238
A001,4390,2014/7/20,1,16:59:33,12,S18212,24,1,24,24,N,56238
A001,5087,2014/7/21,2,15:31:23,18,S8K001,0,1,0,22,Y,56238
A001,5087,2014/7/21,1,15:31:23,7,S14885,22,1,22,22,Y,56238
A001,5104,2014/7/21,2,15:42:23,18,S8D003,0,1,0,25.5,N,55542
A001,5104,2014/7/21,1,15:42:23,7,S13666,25,1,25,25.5,N,55542
A001,5105,2014/7/21,2,15:43:28,18,S8K001,0,1,0,22,N,55542
A001,5105,2014/7/21,1,15:43:28,7,S14885,22,1,22,22,N,55542
A001,5423,2014/7/21,1,19:55:31,12,S07634,32,1,32,37,Y,56340
A001,5423,2014/7/21,2,19:55:31,16,S8D020,5,1,5,37,Y,56340
A001,11243,2014/7/21,4,7:24:21,18,S8D282,0,1,0,32,N,56974
A001,11243,2014/7/21,5,7:24:21,17,S8M115,4,1,4,32,N,56974
A001,11243,2014/7/21,2,7:24:21,20,S8N062,0,1,0,32,N,56974
A001,11243,2014/7/21,1,7:24:21,2,S10485,25,1,25,32,N,56974
A001,11243,2014/7/21,3,7:24:21,,S8D041,3,1,3,32,N,56974
A001,11270,2014/7/21,3,7:46:30,20,S8NF50,0,2,0,98,Y,55816
A001,11270,2014/7/21,1,7:46:30,3,S11007,20,2,40,98,Y,55816
A001,11270,2014/7/21,5,7:46:30,2,S10484,25,1,25,98,Y,55816
A001,11270,2014/7/21,6,7:46:30,20,S8NE35,0,1,0,98,Y,55816
A001,11270,2014/7/21,2,7:46:30,20,S8NE35,0,2,0,98,Y,55816
A001,11270,2014/7/21,10,7:46:30,20,S8NE35,0,1,0,98,Y,55816
A001,11270,2014/7/21,9,7:46:30,2,S10452,25,1,25,98,Y,55816
A001,11270,2014/7/21,7,7:46:30,18,S8D005,0,1,0,98,Y,55816
A001,11270,2014/7/21,4,7:46:30,18,S8D005,0,2,0,98,Y,55816
A001,11270,2014/7/21,8,7:46:30,17,S8M252,4,1,4,98,Y,55816
A001,11270,2014/7/21,12,7:46:30,17,S8M252,4,1,4,98,Y,55816
A001,11270,2014/7/21,11,7:46:30,18,S8D000,0,1,0,98,Y,55816
A001,11311,2014/7/21,1,8:16:48,,TEST,100,1,100,100,N,56340
A001,11312,2014/7/21,1,8:17:09,3,S10999,20,1,20,20,N,56340
A001,11312,2014/7/21,3,8:17:09,20,S8NE34,0,1,0,20,N,56340
A001,11312,2014/7/21,2,8:17:09,20,S8N062,0,1,0,20,N,56340
A001,11312,2014/7/21,4,8:17:09,18,S8D000,0,1,0,20,N,56340
A001,11391,2014/7/21,3,8:55:51,20,S8NF50,0,1,0,20,N,56340
A001,11391,2014/7/21,2,8:55:51,20,S8NE35,0,1,0,20,N,56340
A001,11391,2014/7/21,1,8:55:51,3,S10998,20,1,20,20,N,56340
A001,11391,2014/7/21,4,8:55:51,18,S8D000,0,1,0,20,N,56340
A001,11392,2014/7/21,3,8:56:02,20,S8NF50,0,1,0,20,N,56340
A001,11392,2014/7/21,2,8:56:02,20,S8NE35,0,1,0,20,N,56340
A001,11392,2014/7/21,1,8:56:02,3,S10998,20,1,20,20,N,56340
A001,11392,2014/7/21,4,8:56:02,18,S8D000,0,1,0,20,N,56340
A001,11423,2014/7/21,3,9:08:58,20,S8NF50,0,1,0,20,N,57410
A001,11423,2014/7/21,2,9:08:58,20,S8NE35,0,1,0,20,N,57410
A001,11423,2014/7/21,1,9:08:58,3,S10999,20,1,20,20,N,57410
A001,11423,2014/7/21,4,9:08:58,18,S8D000,0,1,0,20,N,57410
A001,11424,2014/7/21,3,9:09:09,20,S8NF50,0,1,0,20,N,57410
A001,11424,2014/7/21,2,9:09:09,20,S8NE35,0,1,0,20,N,57410
A001,11424,2014/7/21,1,9:09:09,3,S10998,20,1,20,20,N,57410
A001,11424,2014/7/21,4,9:09:09,18,S8D000,0,1,0,20,N,57410
A001,11534,2014/7/21,1,12:05:10,12,S07635,34,1,34,68,Y,54738
A001,11534,2014/7/21,2,12:05:10,4,S02085,34,1,34,68,Y,54738
A001,11703,2014/7/22,3,7:23:44,20,S8NF50,0,2,0,89.5,Y,55816
A001,11703,2014/7/22,1,7:23:44,3,S11007,20,2,40,89.5,Y,55816
A001,11703,2014/7/22,5,7:23:44,2,S10484,25,1,25,89.5,Y,55816
A001,11703,2014/7/22,9,7:23:44,20,S8NE35,0,1,0,89.5,Y,55816
A001,11703,2014/7/22,6,7:23:44,20,S8NE35,0,1,0,89.5,Y,55816
A001,11703,2014/7/22,2,7:23:44,20,S8NE35,0,2,0,89.5,Y,55816
A001,11703,2014/7/22,8,7:23:44,2,S10447,20,1,20,89.5,Y,55816
A001,11703,2014/7/22,7,7:23:44,18,S8D005,0,1,0,89.5,Y,55816
A001,11703,2014/7/22,4,7:23:44,18,S8D005,0,2,0,89.5,Y,55816
A001,11703,2014/7/22,11,7:23:44,17,S8M252,4,1,4,89.5,Y,55816
A001,11703,2014/7/22,10,7:23:44,18,S8D000,0,1,0,89.5,Y,55816
A001,11706,2014/7/22,1,7:25:08,17,S8M332,0,1,0,4,Y,55816
A001,11706,2014/7/22,2,7:25:08,17,S8M252,4,1,4,4,Y,55816
A001,11729,2014/7/22,5,7:44:42,17,S8M252,4,1,4,40,Y,54950
A001,11729,2014/7/22,4,7:44:42,18,S8D283,0,1,0,40,Y,54950
A001,11729,2014/7/22,2,7:44:42,20,S8N062,0,1,0,40,Y,54950
A001,11729,2014/7/22,3,7:44:42,,S8D038,3,1,3,40,Y,54950
A001,11729,2014/7/22,6,7:44:42,17,S8M008,8,1,8,40,Y,54950
A001,11729,2014/7/22,1,7:44:42,2,S10486,25,1,25,40,Y,54950
A001,11759,2014/7/22,1,8:01:00,2,S10484,25,1,25,32,N,54742
A001,11759,2014/7/22,2,8:01:00,20,S8NE35,0,1,0,32,N,54742
A001,11759,2014/7/22,4,8:01:00,17,S8M118,4,1,4,32,N,54742
A001,11759,2014/7/22,3,8:01:00,,S8D038,3,1,3,32,N,54742
A001,11839,2014/7/22,3,8:50:00,20,S8N041,0,1,0,20,N,56340
A001,11839,2014/7/22,2,8:50:00,20,S8NE35,0,1,0,20,N,56340
A001,11839,2014/7/22,1,8:50:00,3,S10999,20,1,20,20,N,56340
A001,11839,2014/7/22,4,8:50:00,18,S8D000,0,1,0,20,N,56340
A001,11975,2014/7/22,7,10:16:28,20,S8NF50,0,1,0,40,N,56186
A001,11975,2014/7/22,6,10:16:28,20,S8NE35,0,1,0,40,N,56186
A001,11975,2014/7/22,2,10:16:28,20,S8NE35,0,1,0,40,N,56186
A001,11975,2014/7/22,5,10:16:28,3,S10998,20,1,20,40,N,56186
A001,11975,2014/7/22,1,10:16:28,3,S10998,20,1,20,40,N,56186
A001,11975,2014/7/22,3,10:16:28,20,S8N249,0,1,0,40,N,56186
A001,11975,2014/7/22,8,10:16:28,18,S8D002,0,1,0,40,N,56186
A001,11975,2014/7/22,4,10:16:28,18,S8D000,0,1,0,40,N,56186
A001,5958,2014/7/23,2,14:28:25,20,S8NF50,0,1,0,27,N,56238
A001,5958,2014/7/23,1,14:28:25,8,S14232,27,1,27,27,N,56238
A001,5958,2014/7/23,3,14:28:25,18,S8D210,0,1,0,27,N,56238
A001,5959,2014/7/23,1,14:28:37,7,S13673,21,1,21,21,N,56238
A001,5959,2014/7/23,2,14:28:37,18,S8D006,0,1,0,21,N,56238
A001,12286,2014/7/23,1,7:44:53,,TEST,100,1,100,100,N,54950
A001,12287,2014/7/23,1,7:45:13,2,S10469,25,1,25,32,Y,54950
A001,12287,2014/7/23,4,7:45:13,17,S8M252,4,1,4,32,Y,54950
A001,12287,2014/7/23,2,7:45:13,20,S8N062,0,1,0,32,Y,54950
A001,12287,2014/7/23,3,7:45:13,,S8D041,3,1,3,32,Y,54950
A001,12296,2014/7/23,2,7:50:54,20,S8NF50,0,1,0,24,N,54742
A001,12296,2014/7/23,1,7:50:54,3,S11008,24,1,24,24,N,54742
A001,12296,2014/7/23,3,7:50:54,18,S8D000,0,1,0,24,N,54742
A001,12374,2014/7/23,1,8:34:53,2,S11005,18,1,18,22,N,56340
A001,12374,2014/7/23,3,8:34:53,17,S8M115,4,1,4,22,N,56340
A001,12374,2014/7/23,2,8:34:53,18,S8D000,0,1,0,22,N,56340
A001,12922,2014/7/24,3,8:13:53,17,S8M252,4,1,4,22,N,56340
A001,12922,2014/7/24,1,8:13:53,2,S11005,18,1,18,22,N,56340
A001,12922,2014/7/24,2,8:13:53,18,S8D000,0,1,0,22,N,56340
A001,13639,2014/7/24,1,16:22:11,7,S13612,24,1,24,24.5,N,56186
A001,13639,2014/7/24,2,16:22:11,18,S8D002,0,1,0,24.5,N,56186
A001,6375,2014/7/25,1,14:07:32,7,S13673,21,1,21,21,N,56238
A001,6375,2014/7/25,2,14:07:32,18,S8D006,0,1,0,21,N,56238
A001,6454,2014/7/25,1,14:52:54,12,S18127,23,1,23,23,N,55838
A001,6454,2014/7/25,2,14:52:54,20,S8N200,0,1,0,23,N,55838
A001,6454,2014/7/25,3,14:52:54,18,S8D004,0,1,0,23,N,55838
A001,13894,2014/7/25,1,7:49:05,2,S10469,25,1,25,32,Y,54950
A001,13894,2014/7/25,4,7:49:05,17,S8M252,4,1,4,32,Y,54950
A001,13894,2014/7/25,2,7:49:05,20,S8N062,0,1,0,32,Y,54950
A001,13894,2014/7/25,3,7:49:05,,S8D041,3,1,3,32,Y,54950
A001,13895,2014/7/25,1,7:49:22,2,S10469,25,1,25,29,Y,54950
A001,13895,2014/7/25,2,7:49:22,20,S8NE35,0,1,0,29,Y,54950
A001,13895,2014/7/25,4,7:49:22,17,S8M118,4,1,4,29,Y,54950
A001,13895,2014/7/25,3,7:49:22,18,S8D210,0,1,0,29,Y,54950
A001,13909,2014/7/25,2,7:58:34,20,S8NE35,0,1,0,25,N,54742
A001,13909,2014/7/25,1,7:58:34,2,S10452,25,1,25,25,N,54742
A001,13909,2014/7/25,3,7:58:34,18,S8D000,0,1,0,25,N,54742
A001,13981,2014/7/25,1,8:35:55,2,S10469,25,1,25,25,N,56340
A001,13981,2014/7/25,2,8:35:55,20,S8NE35,0,1,0,25,N,56340
A001,13981,2014/7/25,3,8:35:55,18,S8D005,0,1,0,25,N,56340
A001,13982,2014/7/25,1,8:36:05,2,S10536,22,1,22,22.5,N,56340
A001,13982,2014/7/25,2,8:36:05,18,S8D000,0,1,0,22.5,N,56340
A001,14168,2014/7/25,1,10:14:52,2,S11005,18,1,18,22,N,56186
A001,14168,2014/7/25,3,10:14:52,17,S8M118,4,1,4,22,N,56186
A001,14168,2014/7/25,2,10:14:52,18,S8D002,0,1,0,22,N,56186
A001,6829,2014/7/26,1,14:07:35,12,S18127,23,1,23,23,N,56238
A001,6829,2014/7/26,2,14:07:35,20,S8N200,0,1,0,23,N,56238
A001,6829,2014/7/26,3,14:07:35,18,S8D006,0,1,0,23,N,56238
A001,7099,2014/7/26,3,18:21:48,16,S8D049,8,1,8,38,N,57410
A001,7099,2014/7/26,2,18:21:48,20,S8NA77,0,1,0,38,N,57410
A001,7099,2014/7/26,4,18:21:48,18,S8D282,0,1,0,38,N,57410
A001,7099,2014/7/26,1,18:21:48,12,S07655,30,1,30,38,N,57410
A001,14520,2014/7/26,1,7:48:03,,TEST,100,1,100,100,N,54950
A001,14524,2014/7/26,2,7:52:00,20,S8NE35,0,1,0,40,Y,54950
A001,14524,2014/7/26,5,7:52:00,17,S8M252,4,1,4,40,Y,54950
A001,14524,2014/7/26,4,7:52:00,18,S8D283,0,1,0,40,Y,54950
A001,14524,2014/7/26,3,7:52:00,,S8D038,3,1,3,40,Y,54950
A001,14524,2014/7/26,6,7:52:00,17,S8M008,8,1,8,40,Y,54950
A001,14524,2014/7/26,1,7:52:00,2,S10486,25,1,25,40,Y,54950
A001,14598,2014/7/26,1,8:30:13,,TEST,100,1,100,100,N,56340
A001,14599,2014/7/26,3,8:30:35,17,S8M179,4,1,4,22,N,56340
A001,14599,2014/7/26,1,8:30:35,2,S11005,18,1,18,22,N,56340
A001,14599,2014/7/26,2,8:30:35,18,S8D000,0,1,0,22,N,56340
A001,14712,2014/7/26,1,9:31:53,2,S10618,22,1,22,22.5,Y,56340
A001,14712,2014/7/26,2,9:31:53,18,S8D000,0,1,0,22.5,Y,56340
A001,7321,2014/7/27,2,9:59:30,20,S8NE35,0,1,0,25,N,57410
A001,7321,2014/7/27,1,9:59:30,2,S10470,25,1,25,25,N,57410
A001,7321,2014/7/27,3,9:59:30,18,S8D000,0,1,0,25,N,57410
A001,7322,2014/7/27,3,9:59:38,20,S8NF50,0,1,0,20,N,57410
A001,7322,2014/7/27,2,9:59:38,20,S8NE35,0,1,0,20,N,57410
A001,7322,2014/7/27,1,9:59:38,3,S10999,20,1,20,20,N,57410
A001,7322,2014/7/27,4,9:59:38,18,S8D000,0,1,0,20,N,57410
A001,7400,2014/7/27,2,10:55:31,20,S8NE35,0,1,0,29,N,54742
A001,7400,2014/7/27,4,10:55:31,17,S8M115,4,1,4,29,N,54742
A001,7400,2014/7/27,1,10:55:31,2,S10467,25,1,25,29,N,54742
A001,7400,2014/7/27,3,10:55:31,18,S8D000,0,1,0,29,N,54742
A001,7812,2014/7/27,2,17:12:40,18,S8K001,0,1,0,24,N,56238
A001,7812,2014/7/27,3,17:12:40,20,S8NA77,0,1,0,24,N,56238
A001,7812,2014/7/27,1,17:12:40,12,S18212,24,1,24,24,N,56238
A001,7886,2014/7/27,1,19:02:20,9,S05058,33,1,33,33,N,56340
A001,7887,2014/7/27,1,19:02:28,,TEST,100,1,100,100,N,56340
A001,7888,2014/7/27,3,19:02:45,16,S8H065,6,1,6,55,N,56340
A001,7888,2014/7/27,2,19:02:45,20,S8N216,0,1,0,55,N,56340
A001,7888,2014/7/27,1,19:02:45,11,S17335,49,1,49,55,N,56340
A001,7897,2014/7/27,1,19:12:22,11,S17331,53,1,53,53,N,56340
A001,7897,2014/7/27,2,19:12:22,20,S8N216,0,1,0,53,N,56340
A001,15102,2014/7/27,1,7:33:52,,TEST,100,1,100,100,N,54950
A001,15103,2014/7/27,1,7:34:06,2,S10469,25,1,25,32,Y,54950
A001,15103,2014/7/27,5,7:34:06,17,S8M252,4,1,4,32,Y,54950
A001,15103,2014/7/27,4,7:34:06,18,S8D283,0,1,0,32,Y,54950
A001,15103,2014/7/27,2,7:34:06,20,S8N062,0,1,0,32,Y,54950
A001,15103,2014/7/27,3,7:34:06,,S8D038,3,1,3,32,Y,54950
A001,15104,2014/7/27,1,7:34:20,2,S10469,25,1,25,29,Y,54950
A001,15104,2014/7/27,2,7:34:20,20,S8NE35,0,1,0,29,Y,54950
A001,15104,2014/7/27,4,7:34:20,17,S8M118,4,1,4,29,Y,54950
A001,15104,2014/7/27,3,7:34:20,18,S8D210,0,1,0,29,Y,54950
A001,15192,2014/7/27,1,8:32:08,2,S10535,22,1,22,22.5,N,56340
A001,15192,2014/7/27,2,8:32:08,18,S8D000,0,1,0,22.5,N,56340
A001,15441,2014/7/27,1,11:10:19,2,S10476,24,1,24,31,Y,54950
A001,15441,2014/7/27,3,11:10:19,17,S8M118,4,1,4,31,Y,54950
A001,15441,2014/7/27,2,11:10:19,,S8D038,3,1,3,31,Y,54950
A001,15445,2014/7/27,1,11:12:35,20,S8N738,0,1,0,8,Y,54950
A001,15445,2014/7/27,2,11:12:35,17,S8M008,8,1,8,8,Y,54950
A001,96,2014/7/28,2,10:15:21,20,S8NE35,0,1,0,25,N,57410
A001,96,2014/7/28,1,10:15:21,2,S10470,25,1,25,25,N,57410
A001,96,2014/7/28,3,10:15:21,18,S8D000,0,1,0,25,N,57410
A001,97,2014/7/28,1,10:15:29,2,S11006,18,1,18,18,N,57410
A001,97,2014/7/28,2,10:15:29,18,S8D000,0,1,0,18,N,57410
A001,438,2014/7/28,1,14:26:50,12,S18127,23,1,23,23,N,55838
A001,438,2014/7/28,2,14:26:50,20,S8N200,0,1,0,23,N,55838
A001,438,2014/7/28,3,14:26:50,18,S8D004,0,1,0,23,N,55838
A001,819,2014/7/28,1,19:53:01,,TEST,100,1,100,100,N,54950
A001,820,2014/7/28,1,19:53:19,10,S15933,39,1,39,39,Y,54950
A001,820,2014/7/28,2,19:53:19,18,S8D054,0,1,0,39,Y,54950
A001,15742,2014/7/28,1,8:36:26,2,S10476,24,1,24,31,Y,54950
A001,15742,2014/7/28,3,8:36:26,17,S8M118,4,1,4,31,Y,54950
A001,15742,2014/7/28,2,8:36:26,,S8D038,3,1,3,31,Y,54950
A001,15760,2014/7/28,1,8:46:10,17,S8M332,0,1,0,4,Y,54950
A001,15760,2014/7/28,2,8:46:10,17,S8M252,4,1,4,4,Y,54950
A001,1097,2014/7/29,1,16:57:28,7,S13673,21,1,21,21,N,56238
A001,1097,2014/7/29,2,16:57:28,18,S8D006,0,1,0,21,N,56238
A001,16020,2014/7/29,1,7:42:29,,TEST,100,1,100,100,N,54950
A001,16580,2014/7/30,1,7:38:53,,TEST,100,1,100,100,N,54950
A001,16582,2014/7/30,1,7:39:57,2,S10469,25,1,25,32,Y,54950
A001,16582,2014/7/30,4,7:39:57,17,S8M252,4,1,4,32,Y,54950
A001,16582,2014/7/30,2,7:39:57,20,S8N062,0,1,0,32,Y,54950
A001,16582,2014/7/30,3,7:39:57,,S8D038,3,1,3,32,Y,54950
A001,16860,2014/7/30,1,10:22:02,2,S10629,21,1,21,23.5,N,56186
A001,16860,2014/7/30,2,10:22:02,20,S8NE17,0,1,0,23.5,N,56186
A001,16860,2014/7/30,3,10:22:02,16,S8D314,2,1,2,23.5,N,56186
A001,1338,2014/7/31,1,7:38:34,,TEST,100,1,100,100,N,54950
A001,1339,2014/7/31,5,7:39:30,17,S8M252,4,1,4,40,Y,54950
A001,1339,2014/7/31,4,7:39:30,18,S8D283,0,1,0,40,Y,54950
A001,1339,2014/7/31,2,7:39:30,20,S8N062,0,1,0,40,Y,54950
A001,1339,2014/7/31,3,7:39:30,,S8D038,3,1,3,40,Y,54950
A001,1339,2014/7/31,6,7:39:30,17,S8M008,8,1,8,40,Y,54950
A001,1339,2014/7/31,1,7:39:30,2,S10486,25,1,25,40,Y,54950
A001,1340,2014/7/31,1,7:39:45,2,S10469,25,1,25,32,Y,54950
A001,1340,2014/7/31,4,7:39:45,17,S8M252,4,1,4,32,Y,54950
A001,1340,2014/7/31,2,7:39:45,20,S8N062,0,1,0,32,Y,54950
A001,1340,2014/7/31,3,7:39:45,,S8D041,3,1,3,32,Y,54950
A001,1341,2014/7/31,1,7:39:56,2,S10469,25,1,25,29,Y,54950
A001,1341,2014/7/31,2,7:39:56,20,S8NE35,0,1,0,29,Y,54950
A001,1341,2014/7/31,4,7:39:56,17,S8M252,4,1,4,29,Y,54950
A001,1341,2014/7/31,3,7:39:56,18,S8D210,0,1,0,29,Y,54950
A001,1490,2014/7/31,2,8:58:59,20,S8NE35,0,1,0,25,N,57410
A001,1490,2014/7/31,1,8:58:59,2,S10470,25,1,25,25,N,57410
A001,1490,2014/7/31,3,8:58:59,18,S8D000,0,1,0,25,N,57410
A001,1695,2014/7/31,3,10:37:57,20,S8NF50,0,1,0,20,N,56186
A001,1695,2014/7/31,2,10:37:57,20,S8NE35,0,1,0,20,N,56186
A001,1695,2014/7/31,1,10:37:57,3,S10998,20,1,20,20,N,56186
A001,1695,2014/7/31,4,10:37:57,18,S8D002,0,1,0,20,N,56186
A001,2224,2014/7/31,2,18:29:00,18,S8D063,0,1,0,49,N,57410
A001,2224,2014/7/31,1,18:29:00,10,S17052,49,1,49,49,N,57410
A001,2225,2014/7/31,1,18:29:34,11,S17332,49,1,49,49,N,57410
A001,2225,2014/7/31,2,18:29:34,20,S8N216,0,1,0,49,N,57410
A002,1767,2014/7/1,1,12:31:58,12,S07820,32,1,32,32,N,55478
A002,1768,2014/7/1,1,12:32:07,4,S02087,35,1,35,35,N,55478
A002,2037,2014/7/1,1,15:33:16,7,S14768,19,1,19,19,N,54782
A002,2037,2014/7/1,2,15:33:16,18,S8D000,0,1,0,19,N,54782
A002,11349,2014/7/1,1,8:37:26,2,S10469,24,1,24,54,Y,56404
A002,11349,2014/7/1,3,8:37:26,17,S8M140,4,1,4,54,Y,56404
A002,11349,2014/7/1,5,8:37:26,2,S10622,22,1,22,54,Y,56404
A002,11349,2014/7/1,4,8:37:26,20,S8N062,0,1,0,54,Y,56404
A002,11349,2014/7/1,6,8:37:26,,S8D040,3,1,3,54,Y,56404
A002,11349,2014/7/1,2,8:37:26,18,S8D000,0,1,0,54,Y,56404
A002,12060,2014/7/1,5,15:23:00,18,S8K001,0,1,0,41.5,N,57046
A002,12060,2014/7/1,4,15:23:00,8,S14237,20,1,20,41.5,N,57046
A002,12060,2014/7/1,1,15:23:00,8,S14290,21,1,21,41.5,N,57046
A002,12060,2014/7/1,6,15:23:00,20,S8N032,0,1,0,41.5,N,57046
A002,12060,2014/7/1,3,15:23:00,20,S8N032,0,1,0,41.5,N,57046
A002,12060,2014/7/1,2,15:23:00,18,S8D210,0,1,0,41.5,N,57046
A002,2544,2014/7/2,3,7:52:50,20,S8N049,0,1,0,23,N,56394
A002,2544,2014/7/2,1,7:52:50,3,S11009,23,1,23,23,N,56394
A002,2544,2014/7/2,5,7:52:50,20,S8NG68,0,1,0,23,N,56394
A002,2544,2014/7/2,4,7:52:50,20,S8N050,0,1,0,23,N,56394
A002,2544,2014/7/2,2,7:52:50,18,S8D000,0,1,0,23,N,56394
A002,2545,2014/7/2,1,7:52:58,2,S11006,18,1,18,18,N,56394
A002,2545,2014/7/2,2,7:52:58,18,S8D002,0,1,0,18,N,56394
A002,2888,2014/7/2,4,13:01:28,20,S8NG73,0,1,0,34,N,57146
A002,2888,2014/7/2,2,13:01:28,18,S8D003,0,1,0,34,N,57146
A002,2888,2014/7/2,1,13:01:28,5,S12665,34,1,34,34,N,57146
A002,2888,2014/7/2,3,13:01:28,20,S8NF26,0,1,0,34,N,57146
A002,3181,2014/7/2,2,16:56:18,18,S8K001,0,1,0,24,N,56822
A002,3181,2014/7/2,1,16:56:18,12,S18212,24,1,24,24,N,56822
A002,3185,2014/7/2,1,18:12:23,10,S17041,44,1,44,47,N,57166
A002,3185,2014/7/2,2,18:12:23,,S8D041,3,1,3,47,N,57166
A002,3186,2014/7/2,1,18:12:45,12,S07654,30,1,30,30,N,57166
A002,3192,2014/7/2,2,18:21:52,18,S8D004,0,1,0,37,N,57166
A002,3192,2014/7/2,1,18:21:52,12,S18174,37,1,37,37,N,57166
A002,3196,2014/7/2,1,18:25:30,9,S05023,30,1,30,30,N,56778
A002,3212,2014/7/2,1,18:41:58,10,S17041,44,1,44,47,N,55534
A002,3212,2014/7/2,2,18:41:58,,S8D041,3,1,3,47,N,55534
A002,12583,2014/7/2,1,8:27:56,2,S11006,18,1,18,22,N,54890
A002,12583,2014/7/2,2,8:27:56,18,S8D004,0,1,0,22,N,54890
A002,12583,2014/7/2,3,8:27:56,17,S8M183,4,1,4,22,N,54890
A002,12847,2014/7/2,4,10:48:48,20,S8NE35,0,1,0,32.5,N,55478
A002,12847,2014/7/2,3,10:48:48,17,S8M252,4,1,4,32.5,N,55478
A002,12847,2014/7/2,2,10:48:48,,S8D041,3,1,3,32.5,N,55478
A002,12847,2014/7/2,1,10:48:48,2,S10458,25,1,25,32.5,N,55478
A002,13606,2014/7/2,1,19:51:41,11,S17332,49,1,49,49,N,55864
A002,13606,2014/7/2,2,19:51:41,20,S8N216,0,1,0,49,N,55864
A002,13614,2014/7/2,1,19:56:05,10,S15839,38,1,38,38,N,55864
A002,13614,2014/7/2,2,19:56:05,18,S8D000,0,1,0,38,N,55864
A002,13680,2014/7/2,2,20:38:07,,S8I291,6,1,6,42,N,56404
A002,13680,2014/7/2,1,20:38:07,10,S16818,36,1,36,42,N,56404
A002,3426,2014/7/3,1,8:06:55,2,S11006,18,1,18,22,N,54890
A002,3426,2014/7/3,2,8:06:55,18,S8D004,0,1,0,22,N,54890
A002,3426,2014/7/3,3,8:06:55,17,S8M183,4,1,4,22,N,54890
A002,3838,2014/7/3,2,13:41:26,18,S8Z003,0,1,0,34,N,54890
A002,3838,2014/7/3,1,13:41:26,12,S07819,34,1,34,34,N,54890
A002,3973,2014/7/3,1,15:21:20,7,S13686,26,1,26,33,N,54782
A002,3973,2014/7/3,3,15:21:20,16,S8H018,7,1,7,33,N,54782
A002,3973,2014/7/3,4,15:21:20,18,S8D339,0,1,0,33,N,54782
A002,3973,2014/7/3,2,15:21:20,18,S8D000,0,1,0,33,N,54782
A002,4057,2014/7/3,1,16:51:14,12,S18132,23,1,23,23,N,55786
A002,4057,2014/7/3,2,16:51:14,18,S8D054,0,1,0,23,N,55786
A002,14408,2014/7/3,1,14:04:31,12,S18181,25,1,25,25,N,54890
A002,14408,2014/7/3,2,14:04:31,18,S8D004,0,1,0,25,N,54890
A002,14895,2014/7/4,1,7:39:56,2,S11006,18,1,18,18,N,56394
A002,14895,2014/7/4,2,7:39:56,18,S8D002,0,1,0,18,N,56394
A002,14977,2014/7/4,4,8:16:15,20,S8NF50,0,1,0,20,N,54890
A002,14977,2014/7/4,3,8:16:15,20,S8NE35,0,1,0,20,N,54890
A002,14977,2014/7/4,1,8:16:15,3,S10998,20,1,20,20,N,54890
A002,14977,2014/7/4,2,8:16:15,18,S8D004,0,1,0,20,N,54890
